subj,prop,obj,question,answers_list,s_pop,o_pop
Redemption,director,Jon Alpert,Who was the director of Redemption?,['Jon Alpert'],208,1154
On the Run,director,Ernest Morris,Who was the director of On the Run?,['Ernest Morris'],75,108
Inspector Pink Dragon,director,Gordon Chan,Who was the director of Inspector Pink Dragon?,['Gordon Chan'],146,1600
Rang Milanti,director,Kaushik Ganguly,Who was the director of Rang Milanti?,['Kaushik Ganguly'],405,4642
The Illusionist,director,Jos Stelling,Who was the director of The Illusionist?,['Jos Stelling'],168,291
The Affair,director,Carl Colpaert,Who was the director of The Affair?,"['Carl Colpaert', 'Carl-Jan Colpaert']",293,272
Weekend War,director,Steven Hilliard Stern,Who was the director of Weekend War?,['Steven Hilliard Stern'],150,440
Nightmare,director,Tim Whelan,Who was the director of Nightmare?,['Tim Whelan'],226,452
The End of Time,director,Peter Mettler,Who was the director of The End of Time?,['Peter Mettler'],247,392
Family Law,director,Daniel Burman,Who was the director of Family Law?,['Daniel Burman'],327,388
Trust,director,Phillip Noyce,Who was the director of Trust?,['Phillip Noyce'],210,7382
The Plan,director,Rose Troche,Who was the director of The Plan?,['Rose Troche'],282,1113
Postcard,director,Kaneto Shindō,Who was the director of Postcard?,"['Kaneto Shindō', 'Kaneto Shindo', 'Shindō Kaneto', 'Shindo Kaneto', 'Kaneto Shindou']",430,4081
Protagonist,director,Jessica Yu,Who was the director of Protagonist?,"['Jessica Yu', 'Jessica Lingmin Yu']",220,2381
Coming Home,director,Arlene Sanford,Who was the director of Coming Home?,['Arlene Sanford'],223,540
Grand Slam,director,Giuliano Montaldo,Who was the director of Grand Slam?,['Giuliano Montaldo'],475,494
Execution,director,Domenico Paolella,Who was the director of Execution?,"['Domenico Paolella', 'Paolo Dominici', 'Paul Fleming']",188,180
Hustle,director,Peter Bogdanovich,Who was the director of Hustle?,['Peter Bogdanovich'],476,61589
The Wicked,director,Carlo Lizzani,Who was the director of The Wicked?,['Carlo Lizzani'],256,805
Beating Heart,director,Henri Decoin,Who was the director of Beating Heart?,['Henri Decoin'],124,546
Variety,director,Adrian Brunel,Who was the director of Variety?,"['Adrian Brunel', 'Adrian Hope Brunel']",83,322
Nelson,director,Maurice Elvey,Who was the director of Nelson?,['Maurice Elvey'],144,526
Bread,director,Victor Schertzinger,Who was the director of Bread?,"['Victor Schertzinger', 'Víctor L. Schertzinger']",169,954
The Holes,director,Pierre Tchernia,Who was the director of The Holes?,"['Pierre Tchernia', 'Pierre Tcherniakowsky', 'Tchernia', 'Pierre Tcherniakowski']",186,454
Sissignore,director,Ugo Tognazzi,Who was the director of Sissignore?,['Ugo Tognazzi'],113,3278
Bala,director,Satyajit Ray,Who was the director of Bala?,"['Satyajit Ray', 'Manik Da']",385,57115
Nuclear Strike,director,Sam Miller,Who was the director of Nuclear Strike?,['Sam Miller'],217,2159
The Night Riders,director,Alexander Butler,Who was the director of The Night Riders?,['Alexander Butler'],89,123
Songs,director,Stan Brakhage,Who was the director of Songs?,"['Stan Brakhage', 'James Stanley Brakhage', 'Robert Sanders']",178,4694
You and I,director,Wolfgang Liebeneiner,Who was the director of You and I?,['Wolfgang Liebeneiner'],96,437
Sway,director,Miwa Nishikawa,Who was the director of Sway?,['Miwa Nishikawa'],285,511
We Shall See,director,Quentin Lawrence,Who was the director of We Shall See?,['Quentin Lawrence'],285,262
Le grand soir,director,Gustave de Kervern,Who was the director of Le grand soir?,"['Gustave de Kervern', 'Gustave Kervern']",286,545
The FJ Holden,director,Michael Thornhill,Who was the director of The FJ Holden?,['Michael Thornhill'],398,148
A Slave of Fashion,director,Hobart Henley,Who was the director of A Slave of Fashion?,"['Hobart Henley', 'Hobert Henley']",198,281
Working It Out,director,Bill Persky,Who was the director of Working It Out?,['Bill Persky'],404,1053
A New World,director,Tim Minear,Who was the director of A New World?,"['Tim Minear', 'Timothy P. Minear']",414,2672
Evidence,director,Raghavan,Who was the director of Evidence?,['Raghavan'],243,2130
Listening,director,Kenneth Branagh,Who was the director of Listening?,"['Kenneth Branagh', 'Sir Kenneth Charles ""Ken"" Branagh', 'Sir Kenneth Branagh', 'Sir Kenneth Charles Branagh']",199,221141
4:30,director,Royston Tan,Who was the director of 4:30?,"['Royston Tan', '陈子谦', 'Chén Zǐqiān', 'Tân Jí-khiam', 'Tan Ji-khiam']",460,1131
In My Life,director,Bille August,Who was the director of In My Life?,['Bille August'],383,3654
La cruz,director,Alejandro Agresti,Who was the director of La cruz?,['Alejandro Agresti'],76,582
L'arma,director,Pasquale Squitieri,Who was the director of L'arma?,['Pasquale Squitieri'],165,3986
Say It Again,director,Gregory La Cava,Who was the director of Say It Again?,"['Gregory La Cava', 'George Gregory LaCava', 'George Lacava', 'Gregory Lacava']",167,1245
Desirable,director,Archie Mayo,Who was the director of Desirable?,['Archie Mayo'],160,716
Wherever You Are,director,Rob Margolies,Who was the director of Wherever You Are?,['Rob Margolies'],106,266
Deep Breath,director,Parviz Shahbazi,Who was the director of Deep Breath?,['Parviz Shahbazi'],146,228
The Guard,director,Aleksandr Rogozhkin,Who was the director of The Guard?,"['Aleksandr Rogozhkin', 'Alexander Rogozhkin', 'Aleksandr Vladimirovich Rogozhkin', 'Alexander Vladimirovich Rogozhkin']",425,3391
Low Life,director,Im Kwon-taek,Who was the director of Low Life?,['Im Kwon-taek'],445,1735
Up in the Air,director,Howard Bretherton,Who was the director of Up in the Air?,['Howard Bretherton'],233,303
The Answer,director,Walter West,Who was the director of The Answer?,"['Walter West', 'Walter Alabaster West']",142,110
Run for Money,director,Reha Erdem,Who was the director of Run for Money?,['Reha Erdem'],115,387
The Lamp,director,Roman Polanski,Who was the director of The Lamp?,"['Roman Polanski', 'Rajmund Roman Thierry Polański', 'Polanski']",125,251680
The Supplement,director,Krzysztof Zanussi,Who was the director of The Supplement?,"['Krzysztof Zanussi', 'Krzysztof Pius Zanussi']",179,1616
La Zizanie,director,Claude Zidi,Who was the director of La Zizanie?,['Claude Zidi'],364,825
The Movies,director,Roscoe Arbuckle,Who was the director of The Movies?,"['Roscoe Arbuckle', 'Fatty Arbuckle', 'Roscoe Conkling Arbuckle', 'William Goodrich']",183,65394
15 Maiden Lane,director,Allan Dwan,Who was the director of 15 Maiden Lane?,['Allan Dwan'],226,1773
The Love Nest,director,Thomas Bentley,Who was the director of The Love Nest?,['Thomas Bentley'],92,222
The Runner,director,Amir Naderi,Who was the director of The Runner?,['Amir Naderi'],456,925
The Resolve,director,Henry Otto,Who was the director of The Resolve?,['Henry Otto'],75,145
The Missing Star,director,Gianni Amelio,Who was the director of The Missing Star?,['Gianni Amelio'],136,844
Christian,director,Gabriel Axel,Who was the director of Christian?,['Gabriel Axel'],105,818
The Bad One,director,George Fitzmaurice,Who was the director of The Bad One?,['George Fitzmaurice'],158,760
Out,director,Lionel Rogosin,Who was the director of Out?,['Lionel Rogosin'],68,496
The Letter,director,Manoel de Oliveira,Who was the director of The Letter?,"['Manoel de Oliveira', 'Manoel Cândido Pinto de Oliveira']",255,3665
It's in the Bag,director,Herbert Mason,Who was the director of It's in the Bag?,"['Herbert Mason', 'Samuel George Herbert Mason']",131,292
Le Mentor,director,Jean-Pierre Mocky,Who was the director of Le Mentor?,['Jean-Pierre Mocky'],107,662
Black and White,director,Cristina Comencini,Who was the director of Black and White?,['Cristina Comencini'],344,578
Confession,director,Ken Hughes,Who was the director of Confession?,"['Ken Hughes', 'Kenneth Graham Hughes']",214,1980
While There is Still Time,director,Charles Chauvel,Who was the director of While There is Still Time?,"['Charles Chauvel', 'Charles Edward Chauvel']",80,700
Kitchen,director,Andy Warhol,Who was the director of Kitchen?,"['Andy Warhol', 'Andrew Warhola', 'Andrew Warhol', 'Drella', 'Andrej Varchol', 'Andrej Warhol']",221,218598
Take a Chance,director,Sinclair Hill,Who was the director of Take a Chance?,['Sinclair Hill'],154,153
Den store gavtyv,director,Johan Jacobsen,Who was the director of Den store gavtyv?,['Johan Jacobsen'],72,114
Too Much (Little) Love,director,Jacques Doillon,Who was the director of Too Much (Little) Love?,['Jacques Doillon'],113,4407
Julie,director,Blake Edwards,Who was the director of Julie?,"['Blake Edwards', 'William Blake Crump']",379,35812
Skinner's Dress Suit,director,William A. Seiter,Who was the director of Skinner's Dress Suit?,"['William A. Seiter', 'William Seiter', 'Bill Seiter']",311,1026
Riders of the Purple Sage,director,James Tinling,Who was the director of Riders of the Purple Sage?,['James Tinling'],401,142
The Physician,director,Georg Jacoby,Who was the director of The Physician?,['Georg Jacoby'],73,361
99,director,Michael Curtiz,Who was the director of 99?,['Michael Curtiz'],165,11864
Gentleman's Intermission,director,Don Scardino,Who was the director of Gentleman's Intermission?,"['Don Scardino', 'Donald Joseph Scardino']",357,2353
El Último perro,director,Lucas Demare,Who was the director of El Último perro?,['Lucas Demare'],95,122
Abouna,director,Mahamat Saleh Haroun,Who was the director of Abouna?,['Mahamat Saleh Haroun'],318,534
The Raid,director,Ching Siu-tung,Who was the director of The Raid?,['Ching Siu-tung'],420,1395
Delivering,director,Todd Field,Who was the director of Delivering?,"['Todd Field', 'William Todd Field']",111,10431
A Flea in Her Ear,director,Jacques Charon,Who was the director of A Flea in Her Ear?,['Jacques Charon'],290,143
Mother,director,Ali Hatami,Who was the director of Mother?,['Ali Hatami'],220,903
The Easiest Way,director,Albert Capellani,Who was the director of The Easiest Way?,['Albert Capellani'],78,256
Student,director,Darezhan Omirbaev,Who was the director of Student?,['Darezhan Omirbaev'],199,231
The Message,director,Bobby Roth,Who was the director of The Message?,"['Bobby Roth', 'Robert Jay ""Bobby"" Roth']",436,1884
The Confession,director,Zeki Demirkubuz,Who was the director of The Confession?,['Zeki Demirkubuz'],141,817
Revenge,director,Crossbelt Mani,Who was the director of Revenge?,['Crossbelt Mani'],130,5565
The Rice People,director,Tadashi Imai,Who was the director of The Rice People?,['Tadashi Imai'],202,409
Eva,director,Gustaf Molander,Who was the director of Eva?,"['Gustaf Molander', 'Harald B. Harald', 'Gustaf Harald August Molander']",354,446
The Betrayed,director,Frans Weisz,Who was the director of The Betrayed?,['Frans Weisz'],89,177
Lovely,director,N. Sankaran Nair,Who was the director of Lovely?,['N. Sankaran Nair'],159,439
The Cycle,director,Dariush Mehrjui,Who was the director of The Cycle?,['Dariush Mehrjui'],315,1227
Beggar on Horseback,director,James Cruze,Who was the director of Beggar on Horseback?,['James Cruze'],130,891
The National Health,director,Jack Gold,Who was the director of The National Health?,['Jack Gold'],413,1126
Two Women,director,Tahmineh Milani,Who was the director of Two Women?,['Tahmineh Milani'],359,579
By Design,director,Claude Jutra,Who was the director of By Design?,['Claude Jutra'],275,1041
Sagar Sangamey,director,Debaki Bose,Who was the director of Sagar Sangamey?,['Debaki Bose'],187,708
Late Last Night,director,Steven Brill,Who was the director of Late Last Night?,['Steven Brill'],474,3981
The Transfer,director,Holly Dale,Who was the director of The Transfer?,['Holly Dale'],135,851
The Butterfly,director,Tom Ricketts,Who was the director of The Butterfly?,['Tom Ricketts'],109,979
Children Without,director,Charles Guggenheim,Who was the director of Children Without?,"['Charles Guggenheim', 'Charles Eli Guggenheim']",102,4450
Sacrifice,director,Frank Reicher,Who was the director of Sacrifice?,['Frank Reicher'],82,1872
Women Who Work,director,Manuel Romero,Who was the director of Women Who Work?,"['Manuel Romero', 'Manuel Romeo']",94,204
Sun,director,Alessandro Blasetti,Who was the director of Sun?,['Alessandro Blasetti'],189,623
Trail,director,Luis Moglia Barth,Who was the director of Trail?,['Luis Moglia Barth'],97,74
Another Life,director,Emmanuel Mouret,Who was the director of Another Life?,['Emmanuel Mouret'],200,585
Basement,director,Topel Lee,Who was the director of Basement?,['Topel Lee'],434,383
Tracks,director,Henry Jaglom,Who was the director of Tracks?,"['Henry Jaglom', 'Henry David Jaglom']",377,1481
Sunday,director,Jonathan Nossiter,Who was the director of Sunday?,['Jonathan Nossiter'],399,342
Delicious,director,David Butler,Who was the director of Delicious?,['David Butler'],418,1047
Trojan Eddie,director,Gillies MacKinnon,Who was the director of Trojan Eddie?,['Gillies MacKinnon'],278,826
Turn to the Right,director,Rex Ingram,Who was the director of Turn to the Right?,['Rex Ingram'],126,2349
The Reader,director,Michel Deville,Who was the director of The Reader?,['Michel Deville'],416,392
My House,director,Junji Sakamoto,Who was the director of My House?,['Junji Sakamoto'],122,339
Atomic Dog,director,Brian Trenchard-Smith,Who was the director of Atomic Dog?,"['Brian Trenchard-Smith', 'Brian Medwin Trenchard-Smith']",272,2147
Mute,director,Melissa Joan Hart,Who was the director of Mute?,['Melissa Joan Hart'],289,137101
Help Wanted,director,Hobart Bosworth,Who was the director of Help Wanted?,"['Hobart Bosworth', 'Hobart Van Zandt Bosworth']",109,1190
That Summer,director,Harley Cokeliss,Who was the director of That Summer?,['Harley Cokeliss'],431,377
The Ancestor,director,Guido Brignone,Who was the director of The Ancestor?,['Guido Brignone'],111,255
Parking,director,Jacques Demy,Who was the director of Parking?,['Jacques Demy'],298,7718
Day Off,director,Pascal Thomas,Who was the director of Day Off?,['Pascal Thomas'],138,189
Valfångare,director,Anders Henrikson,Who was the director of Valfångare?,"['Tancred Ibsen', 'Anders Henrikson', 'Anders Henrik Henrikson']",100,152
Fear,director,Alfred Zeisler,Who was the director of Fear?,['Alfred Zeisler'],322,181
Framed,director,George Archainbaud,Who was the director of Framed?,['George Archainbaud'],138,350
Prag,director,Ole Christian Madsen,Who was the director of Prag?,['Ole Christian Madsen'],349,387
Det var paa Rundetaarn,director,Poul Bang,Who was the director of Det var paa Rundetaarn?,['Poul Bang'],50,133
The Fossil,director,Masaki Kobayashi,Who was the director of The Fossil?,['Masaki Kobayashi'],274,5322
Voices,director,Kevin Billington,Who was the director of Voices?,['Kevin Billington'],269,350
A Self-Made Failure,director,William Beaudine,Who was the director of A Self-Made Failure?,"['William Beaudine', 'William Washington Beaudine']",144,1319
Captain Thunderbolt,director,Cecil Holmes,Who was the director of Captain Thunderbolt?,"['Cecil Holmes', 'Cecil William Holmes']",168,122
Second Skin,director,Gerardo Vera,Who was the director of Second Skin?,"['Gerardo Vera', 'Gerardo Vera Perales']",423,140
The Crazy Companies II,director,Wong Jing,Who was the director of The Crazy Companies II?,['Wong Jing'],227,2875
The Barrier,director,Lesley Selander,Who was the director of The Barrier?,['Lesley Selander'],98,653
His Hour,director,King Vidor,Who was the director of His Hour?,"['King Vidor', 'King Wallis Vidor']",262,8354
Small Town,director,Thomas Schlamme,Who was the director of Small Town?,"['Thomas Schlamme', 'Thomas David Schlamme']",157,4465
The Canadian,director,William Beaudine,Who was the director of The Canadian?,"['William Beaudine', 'William Washington Beaudine']",172,1319
Genius,director,Babar Ahmad,Who was the director of Genius?,['Babar Ahmad'],54,1245
