subj,prop,obj,question,answers_list
Mariángel  Carolina Ruiz Diaz,occupation,model,What is Mariángel  Carolina Ruiz Diaz's occupation?,"['actor', 'actress', 'actors', 'actresses', 'model', 'fashion model', 'sitter', 'poser']"
Fallen,author,Karin Slaughter,Who is the author of Fallen?,['Karin Slaughter']
Zwei Klavierstücke,composer,Arnold Schoenberg,Who was the composer of Zwei Klavierstücke?,"['Arnold Schoenberg', 'Arnold Schönberg', 'A. Schenberg', 'Arnold Franz Walter Schoenberg', 'Arnold Schonberg', 'Arnolʹd Shenberg', 'A. Shenberg', 'Arnold Franz Walter Schönberg']"
Maximiano de Sousa,genre,fado,What genre is Maximiano de Sousa?,['fado']
Boy Meets Dog,producer,Walter Lantz,Who was the producer of Boy Meets Dog?,"['Walter Lantz', 'Walter Benjamin Lantz']"
The Story of the Daughters of Quchan,author,Afsaneh Najmabadi,Who is the author of The Story of the Daughters of Quchan?,['Afsaneh Najmabadi']
Edwin H. Knopf,occupation,film producer,What is Edwin H. Knopf's occupation?,"['film director', 'movie director', 'director', 'motion picture director', 'screenwriter', 'scenarist', 'writer', 'screen writer', 'script writer', 'scriptwriter', 'film producer', 'movie producer', 'producer']"
Act One,author,James Lapine,Who is the author of Act One?,"['James Lapine', 'James Elliot Lapine']"
One of Us,author,Michael Marshall Smith,Who is the author of One of Us?,"['Michael Marshall Smith', 'Michael Marshall', 'Michael Paul Marshall Smith']"
The Mighty,screenwriter,Grover Jones,Who was the screenwriter for The Mighty?,['Grover Jones']
Kärleken är,composer,Ingela Forsman,Who was the composer of Kärleken är?,"['Ingela Forsman', 'Ingela Birgitta Forsman', 'Pling', 'Bobby Ljunggren', 'Robert Vasilis Ljunggren', 'Robert Vasilis Engdahl']"
Himan and Heeb,capital,Adado,What is the capital of Himan and Heeb?,['Adado']
Bloomfield,composer,Johnny Harris,Who was the composer of Bloomfield?,"['Johnny Harris', 'John Stanley Livingstone Harris']"
Masahito Noto,sport,association football,What sport does Masahito Noto play?,"['association football', 'football', 'soccer']"
One Too Many,producer,Kroger Babb,Who was the producer of One Too Many?,['Kroger Babb']
Joseph Schubert,religion,Catholic Church,What is the religion of Joseph Schubert?,"['Catholic Church', 'Roman Catholic Church', 'Church', 'Roman Apostolic Catholic Church']"
Matthew Henry Richey,father,Matthew Richey,Who is the father of Matthew Henry Richey?,['Matthew Richey']
Tea for One,composer,Jimmy Page,Who was the composer of Tea for One?,"['Jimmy Page', 'James Patrick Page', 'Jim Page']"
White Line Fever,author,Lemmy Kilmister,Who is the author of White Line Fever?,"['Lemmy Kilmister', 'Ian Fraser Kilmister', 'Ian Kilmister', 'Lemmy']"
Macky Escalona,sport,basketball,What sport does Macky Escalona play?,"['basketball', 'hoops', 'b-ball', 'basket ball', 'BB', 'Basketball']"
Skin,author,Mo Hayder,Who is the author of Skin?,"['Mo Hayder', 'Beatrice Clare Dunkel', 'Clare Damaris Bastin', 'Candy Davis', 'Theo Clare', 'Clare Dunkel']"
Still Time,author,Sally Mann,Who is the author of Still Time?,['Sally Mann']
Live,director,Noboru Iguchi,Who was the director of Live?,"['Noboru Iguchi', 'Iguchi Noboru']"
"Thomas Fane, 8th Earl of Westmorland",father,Henry Fane of Brympton,"Who is the father of Thomas Fane, 8th Earl of Westmorland?","['Henry Fane of Brympton', 'Henry Fane of Bristol', 'Henry Fane']"
Jurgis Karnavičius,place of birth,Vilnius,In what city was Jurgis Karnavičius born?,"['Vilnius', 'Vilna', 'Wilno', 'Vilne', 'Wilna', 'Viļņa', 'Vilnia', 'Vilno', 'Vilnyus']"
Marco Ameglio,occupation,politician,What is Marco Ameglio's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Cristina Laslo,place of birth,Cluj-Napoca,In what city was Cristina Laslo born?,"['Cluj-Napoca', 'Kolozsvár', 'Klausenburg', 'Cluj', 'Claudiopolis', 'Kolozsvar', 'Kluyzenburg', 'Napoca', 'Kluž', 'Kluzh', 'Kolozhvar', 'Kolozvar']"
Manga,capital of,Centre-Sud Region,What is Manga the capital of?,['Centre-Sud Region']
Exit the Vamp,screenwriter,Clara Beranger,Who was the screenwriter for Exit the Vamp?,"['Clara Beranger', 'Clara Strouse', 'Clara S. Beranger']"
Shorty Hamilton,occupation,actor,What is Shorty Hamilton's occupation?,"['actor', 'actress', 'actors', 'actresses']"
"Johann VII, Duke of Mecklenburg",father,"John Albert I, Duke of Mecklenburg","Who is the father of Johann VII, Duke of Mecklenburg?","['John Albert I, Duke of Mecklenburg', 'Johann Albrecht I Herzog von Mecklenburg']"
Room Service,author,Allen Boretz,Who is the author of Room Service?,['Allen Boretz']
Familia,screenwriter,Louise Archambault,Who was the screenwriter for Familia?,['Louise Archambault']
John White,religion,Evangelicalism,What is the religion of John White?,"['Evangelicalism', 'Evangelical Christianity', 'Evangelical Protestantism']"
Eormenred of Kent,father,Eadbald of Kent,Who is the father of Eormenred of Kent?,['Eadbald of Kent']
George Lewis,occupation,politician,What is George Lewis's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
The Wife,composer,Tom Noonan,Who was the composer of The Wife?,['Tom Noonan']
KMEI-LP,country,United States of America,In what country is KMEI-LP?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]"
Dragočaj,country,Bosnia and Herzegovina,In what country is Dragočaj?,"['Bosnia and Herzegovina', 'Bosnia-Herzegovina', 'Bosnia', 'BiH', 'Bosnia & Herzegovina', 'B&H', '🇧🇦', 'ba', 'BIH']"
Valdemar Mota,sport,association football,What sport does Valdemar Mota play?,"['association football', 'football', 'soccer']"
Voyage,genre,synth-pop,What genre is Voyage?,"['synth-pop', 'synthesizer pop', 'techno-pop', 'synthpop']"
Northern Lights,producer,Rob Nilsson,Who was the producer of Northern Lights?,"['Rob Nilsson', 'John Hanson']"
Destiny,director,Mario Mattoli,Who was the director of Destiny?,['Mario Mattoli']
Arizona,producer,Douglas Fairbanks,Who was the producer of Arizona?,"['Douglas Fairbanks', 'Douglas Fairbanks, Sr.', 'Douglas Elton Thomas Ullman', 'Douglas Ullman', 'Doug Fairbanks']"
Jack Kachkar,place of birth,Damascus,In what city was Jack Kachkar born?,"['Damascus', 'Sham city', 'Jasmine city']"
Three Modern Women,screenwriter,Tian Han,Who was the screenwriter for Three Modern Women?,['Tian Han']
Mrákotín,country,Czech Republic,In what country is Mrákotín?,"['Czech Republic', 'CZR', 'cz', 'Česko', 'Česká republika', 'ČR', 'cze', 'CZE', 'Czechia']"
Beyond Citizen Kane,screenwriter,Simon Hartog,Who was the screenwriter for Beyond Citizen Kane?,['Simon Hartog']
Chosen,author,Kristin Cast,Who is the author of Chosen?,['Kristin Cast']
Walter Gay,place of birth,Boston,In what city was Walter Gay born?,"['Boston', 'Beantown', 'The Cradle of Liberty', 'The Hub', 'The Cradle of Modern America', 'The Athens of America', 'The Walking City', 'The Hub of the Universe', 'Bostonia', 'Boston, Massachusetts', 'Boston, MA', 'Boston, Mass.', 'Puritan City']"
Katherine,director,Jeremy Kagan,Who was the director of Katherine?,"['Jeremy Kagan', 'Jeremy Paul Kagan']"
Match,author,Stephen Belber,Who is the author of Match?,['Stephen Belber']
Jam Session,screenwriter,Duke Ellington,Who was the screenwriter for Jam Session?,"['Duke Ellington', 'Edward Kennedy ""Duke"" Ellington', 'Edward Kennedy Ellington', 'Edward K. Ellington']"
Kirby: King of Comics,author,Mark Evanier,Who is the author of Kirby: King of Comics?,"['Mark Evanier', 'Mark Stephen Evanier', 'Evanier, Mark']"
We Are Not Alone,screenwriter,James Hilton,Who was the screenwriter for We Are Not Alone?,['James Hilton']
Tim Jackman,sport,ice hockey,What sport does Tim Jackman play?,['ice hockey']
Le Moustoir,country,France,In what country is Le Moustoir?,"['France', 'fr', 'FR', 'République française', 'La France', 'Republic of France', 'French Republic', 'FRA', 'the Hexagon']"
Legacy,author,Lois McMaster Bujold,Who is the author of Legacy?,['Lois McMaster Bujold']
Two Women,director,Tahmineh Milani,Who was the director of Two Women?,['Tahmineh Milani']
Tora-san's Shattered Romance,director,Yōji Yamada,Who was the director of Tora-san's Shattered Romance?,"['Yōji Yamada', 'Yamada Yōji', 'Yamada Yoji', 'Yoji Yamada', 'Youji Yamada']"
Ralph Black,sport,association football,What sport does Ralph Black play?,"['association football', 'football', 'soccer']"
Syarhey Ignatovich,sport,association football,What sport does Syarhey Ignatovich play?,"['association football', 'football', 'soccer']"
The Train,author,Flannery O'Connor,Who is the author of The Train?,"[""Flannery O'Connor"", ""Mary Flannery O'Connor""]"
Dance a Little Closer,composer,Charles Strouse,Who was the composer of Dance a Little Closer?,['Charles Strouse']
After All This Time,genre,country music,What genre is After All This Time?,"['country music', 'country and western', 'country & western', 'country', 'Nashville sound']"
First Love,author,Samuel Beckett,Who is the author of First Love?,"['Samuel Beckett', 'Samuel Barclay Beckett', 'Andrew Belis', 'Sam Beckett', 'Sa-miao-erh Pei-kʻo-tʻe', 'Samuel Beḳeṭ']"
The Isle of Voices,author,Robert Louis Stevenson,Who is the author of The Isle of Voices?,"['Robert Louis Stevenson', 'Robert Lewis Balfour Stevenson', 'Robert Luis Stivensoni', 'Shih-ti-wen-sheng', 'Stivenson', 'Robert Loui Sitivensin', 'Robert Louis Balfour Stevenson', 'Robert Lui Stivenson', 'RL Stivenson', 'RL Stevenson', 'RLS']"
Day Trip,screenwriter,Park Chan-wook,Who was the screenwriter for Day Trip?,"['Park Chan-wook', 'Chan-wook Park', 'Park Chan-uk']"
Charlie Davis,place of birth,New York City,In what city was Charlie Davis born?,"['New York City', 'NYC', 'New York', 'the five boroughs', 'Big Apple', 'City of New York', 'NY City', 'New York, New York', 'New York City, New York', 'New York, NY', 'New York City (NYC)']"
Adílson Batista,sport,association football,What sport does Adílson Batista play?,"['association football', 'football', 'soccer']"
Gold,author,Isaac Asimov,Who is the author of Gold?,"['Isaac Asimov', 'Isaak Osimov', 'Paul French', 'Asimov', 'Isaak Ozimov']"
Pilot,director,Danny Cannon,Who was the director of Pilot?,"['Danny Cannon', 'Daniel John Cannon']"
Proof,author,Riley Rossmo,Who is the author of Proof?,['Riley Rossmo']
Isaac Bowman,father,George Bowman,Who is the father of Isaac Bowman?,['George Bowman']
Serjik Teymourian,place of birth,Tehran,In what city was Serjik Teymourian born?,"['Tehran', 'Teheran']"
Toughest Gun in Tombstone,producer,Edward Small,Who was the producer of Toughest Gun in Tombstone?,['Edward Small']
Andy Keeley,place of birth,Basildon,In what city was Andy Keeley born?,['Basildon']
Small Town,director,Thomas Schlamme,Who was the director of Small Town?,"['Thomas Schlamme', 'Thomas David Schlamme']"
The Mirror,director,Anthony O'Sullivan,Who was the director of The Mirror?,"[""Anthony O'Sullivan"", ""Tony O'Sullivan""]"
The One and Only,screenwriter,Susanne Bier,Who was the screenwriter for The One and Only?,['Susanne Bier']
You Never Know,composer,Cole Porter,Who was the composer of You Never Know?,"['Cole Porter', 'Cole Albert Porter']"
Picnic,screenwriter,Shunji Iwai,Who was the screenwriter for Picnic?,"['Shunji Iwai', 'Iwai Shunji']"
Yellow Cargo,screenwriter,Crane Wilbur,Who was the screenwriter for Yellow Cargo?,"['Crane Wilbur', 'Erwin Crane Wilbur']"
Noé,composer,Georges Bizet,Who was the composer of Noé?,"['Georges Bizet', 'Alexandre César Léopold Bizet', 'Alexandre Cesar Leopold Bizet']"
The Shock,director,Lambert Hillyer,Who was the director of The Shock?,"['Lambert Hillyer', 'Lambert Harwood Hillyer']"
Mihailo II of Duklja,father,Constantine Bodin,Who is the father of Mihailo II of Duklja?,['Constantine Bodin']
Joseph-Médard Émard,religion,Catholic Church,What is the religion of Joseph-Médard Émard?,"['Catholic Church', 'Roman Catholic Church', 'Church', 'Roman Apostolic Catholic Church']"
"Adele Capell, Countess of Essex",occupation,socialite,"What is Adele Capell, Countess of Essex's occupation?","['socialite', 'prominent person']"
Circus,producer,Dayal Padmanabhan,Who was the producer of Circus?,['Dayal Padmanabhan']
Mali,country,Guinea,In what country is Mali?,"['Guinea', 'Guinea-Conakry', 'Republic of Guinea', 'République de Guinée', 'gn', '🇬🇳', 'Republique de Guinee', 'GUI']"
Deep Breath,director,Parviz Shahbazi,Who was the director of Deep Breath?,['Parviz Shahbazi']
With Passion,genre,technical death metal,What genre is With Passion?,"['technical death metal', 'tech-death']"
The Dog,director,Todd Field,Who was the director of The Dog?,"['Todd Field', 'William Todd Field']"
Nevada,screenwriter,Zane Grey,Who was the screenwriter for Nevada?,['Zane Grey']
Deadline,genre,electronic music,What genre is Deadline?,"['electronic music', 'electrosonic']"
The Jacket,author,Andrew Clements,Who is the author of The Jacket?,"['Andrew Clements', 'Andrew Elburn Clements', 'Andrew Elborn Clements']"
Suzanne Lilar,occupation,playwright,What is Suzanne Lilar's occupation?,"['playwright', 'dramatist', 'playwrite', 'scriptwriter']"
Koumiba Djossouvi,sport,rugby union,What sport does Koumiba Djossouvi play?,"['rugby union', 'rugby']"
Of a Boy,author,Sonya Hartnett,Who is the author of Of a Boy?,"['Sonya Hartnett', 'Cameron S. Redfern', 'Sonya Louise Hartnett']"
Andrew Montour,mother,Isabelle Montour,Who is the mother of Andrew Montour?,"['Isabelle Montour', 'Madame Montour', 'Élisabeth Couc']"
Landeh,country,Iran,In what country is Landeh?,"['Iran', 'Islamic Republic of Iran', 'Persia', 'ir', 'Islamic Rep. Iran', '🇮🇷']"
Choices,director,David Lowell Rich,Who was the director of Choices?,['David Lowell Rich']
So Rare,composer,Jerry Herst,Who was the composer of So Rare?,"['Jerry Herst', 'Jerome Philip Herst']"
Help Wanted,director,Hobart Bosworth,Who was the director of Help Wanted?,"['Hobart Bosworth', 'Hobart Van Zandt Bosworth']"
Marked for Murder,director,Elmer Clifton,Who was the director of Marked for Murder?,['Elmer Clifton']
Over the Edge,author,Greg Child,Who is the author of Over the Edge?,['Greg Child']
K,author,Kylie Minogue,Who is the author of K?,"['Kylie Minogue', 'Kylie Ann Minogue']"
Dham,composer,Ramana Gogula,Who was the composer of Dham?,['Ramana Gogula']
Gösta Eriksson,place of birth,Vaxholm,In what city was Gösta Eriksson born?,['Vaxholm']
The Bishop's Heir,author,Katherine Kurtz,Who is the author of The Bishop's Heir?,"['Katherine Kurtz', 'Katherine Irene Kurtz']"
Gene,genre,thriller,What genre is Gene?,"['thriller', 'suspense', 'thriller television program', 'thriller TV program', 'thriller television show', 'thriller TV show', 'suspense television program', 'suspense TV program', 'suspense television show', 'suspense TV show']"
The Band,composer,Yair Rosenblum,Who was the composer of The Band?,['Yair Rosenblum']
Skyline,father,Star Kingdom,Who is the father of Skyline?,['Star Kingdom']
Suicide,author,Viktor Suvorov,Who is the author of Suicide?,['Viktor Suvorov']
Pierre Pansu,occupation,mathematician,What is Pierre Pansu's occupation?,['mathematician']
Face to Face,producer,Huntington Hartford,Who was the producer of Face to Face?,"['Huntington Hartford', 'George Huntington Hartford', 'George Huntington Hartford II']"
Pilot,screenwriter,Becky Mode,Who was the screenwriter for Pilot?,['Becky Mode']
Konjsko Brdo,country,Croatia,In what country is Konjsko Brdo?,"['Croatia', 'Republic of Croatia', 'HR', 'HRV', 'hr', '🇭🇷', 'CRO']"
María Milagros Véliz,place of birth,Guacara,In what city was María Milagros Véliz born?,['Guacara']
David Davidson,sport,association football,What sport does David Davidson play?,"['association football', 'football', 'soccer']"
Punishment,genre,soap opera,What genre is Punishment?,"['soap opera', 'soap', 'soapie', 'soapopera']"
Sam,director,Larry Buchanan,Who was the director of Sam?,"['Larry Buchanan', 'Marcus Larry Seale Jr.']"
